,CITY,STABBR,Mid-Career Median Salary,Starting Median Salary,LOCALE
0,Ames,IA,84600.0,45400.0,13
1,Amherst,MA,97600.0,50550.0,21
2,Amherst,MA,97600.0,50550.0,21
3,Anchorage,AK,72600.0,45900.0,11
4,Arcata,CA,71300.0,42600.0,33
5,Ashland,VA,83600.0,42600.0,21
6,Athens,GA,86000.0,44100.0,12
7,Atlanta,GA,82800.0,46900.0,11
8,Atlanta,GA,82800.0,46900.0,11
9,Auburn,AL,84700.0,45400.0,13
10,Baltimore,MD,77800.0,47000.0,21
11,Barbourville,KY,95800.0,47200.0,33
12,Beaumont,TX,79400.0,46500.0,12
13,Bellingham,WA,73150.0,40650.0,13
14,Bellingham,WA,73150.0,40650.0,13
15,Berkeley,CA,112000.0,59900.0,12
16,Bethlehem,PA,89700.0,50850.0,13
17,Bethlehem,PA,89700.0,50850.0,13
18,Billings,MT,50600.0,37900.0,12
19,Birmingham,AL,70100.0,39200.0,12
20,Blacksburg,VA,95400.0,53500.0,13
21,Bloomington,IN,84000.0,46300.0,13
22,Boca Raton,FL,71100.0,42600.0,13
23,Boise,ID,69500.0,40800.0,12
24,Boone,NC,69100.0,40400.0,32
25,Boston,MA,87516.66666666667,48816.666666666664,11
26,Boston,MA,87516.66666666667,48816.666666666664,11
27,Boston,MA,87516.66666666667,48816.666666666664,11
28,Boston,MA,87516.66666666667,48816.666666666664,11
29,Boston,MA,87516.66666666667,48816.666666666664,11
30,Boston,MA,87516.66666666667,48816.666666666664,11
31,Boulder,CO,97600.0,47100.0,12
32,Bristol,RI,72300.0,42000.0,21
33,Bronx,NY,99900.0,47800.0,11
34,Brookings,SD,75650.0,43100.0,33
35,Brookings,SD,75650.0,43100.0,33
36,Brookville,NY,93200.0,47300.0,21
37,Brunswick,ME,107000.0,48100.0,31
38,Burlington,VT,82700.0,44800.0,13
39,Cambridge,MA,125000.0,67800.0,12
40,Cambridge,MA,125000.0,67800.0,12
41,Carbondale,IL,72500.0,43000.0,13
42,Carson,CA,72100.0,42700.0,13
43,Cedar City,UT,56500.0,41900.0,33
44,Champaign,IL,96100.0,52900.0,13
45,Chapel Hill,NC,81500.0,42900.0,13
46,Charlotte,NC,74000.0,43100.0,11
47,Cheney,WA,73150.0,40650.0,31
48,Cheney,WA,73150.0,40650.0,31
49,Chester,PA,83400.0,52900.0,21
50,Chestnut Hill,MA,103000.0,52700.0,13
51,Chicago,IL,93100.0,48940.0,11
52,Chicago,IL,93100.0,48940.0,11
53,Chicago,IL,93100.0,48940.0,11
54,Chicago,IL,93100.0,48940.0,11
55,Chicago,IL,93100.0,48940.0,11
56,Chico,CA,88100.0,47400.0,13
57,Claremont,CA,111500.0,60200.0,21
58,Claremont,CA,111500.0,60200.0,21
59,Clarksville,TN,59200.0,37700.0,12
60,Clemson,SC,86000.0,48400.0,21
61,Cleveland,OH,84800.0,49850.0,11
62,Cleveland,OH,84800.0,49850.0,11
63,Cleveland,TN,53900.0,34500.0,13
64,Clinton,MS,60400.0,35400.0,21
65,Clinton,NY,83700.0,49200.0,22
66,College Park,MD,95000.0,52000.0,21
67,Collegeville,PA,80000.0,42100.0,21
68,Colorado Springs,CO,81400.0,38500.0,11
69,Columbia,MO,81000.0,41700.0,12
70,Cookeville,TN,80000.0,46200.0,33
71,Corvallis,OR,83300.0,45100.0,13
72,Cullowhee,NC,66600.0,36900.0,32
73,Dallas,TX,60200.0,39400.0,11
74,Davidson,NC,104000.0,46100.0,21
75,Davis,CA,99600.0,52300.0,23
76,Dekalb,IL,80800.0,43600.0,23
77,Denver,CO,73800.0,48300.0,11
78,Detroit,MI,76100.0,42800.0,11
79,Dobbs Ferry,NY,62600.0,43700.0,21
80,Durango,CO,69800.0,42000.0,32
81,Durham,NC,106000.0,58900.0,11
82,East Lansing,MI,85300.0,46300.0,13
83,Easton,PA,107000.0,53900.0,21
84,Eau Claire,WI,64800.0,41400.0,13
85,Eugene,OR,78400.0,42200.0,12
86,Evanston,IL,91150.0,51600.0,13
87,Evanston,IL,91150.0,51600.0,13
88,Fairfax,VA,107950.0,59100.0,21
89,Fairfax,VA,107950.0,59100.0,21
90,Fairfield,CT,75300.0,46000.0,21
91,Fayetteville,AR,82200.0,43250.0,13
92,Fayetteville,AR,82200.0,43250.0,13
