INSTNM,HIGHDEG,REGION,ANNHI,PBI,TRIBAL,HSI,MENONLY,WOMENONLY,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTENMID,SAT_AVG,UGDS_BLACK,UGDS_WHITE,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UG_NRA,PPTUG_EF,NPT4_PUB,NPT4_PROG,NUM4_PUB,NUM4_PRIV,NUM4_PROG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,AVGFACSAL,PFTFAC,PCTPELL,C150_4,C150_L4,PFTFTUG1_EF,D150_4,INC_PCT_LO,DEP_STAT_PCT_IND,IND_INC_PCT_LO,DEP_INC_PCT_LO,PAR_ED_PCT_1STGEN,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,IND_INC_PCT_H2,PAR_ED_PCT_MS,PAR_ED_PCT_HS,PAR_ED_PCT_PS,DEP_INC_AVG,IND_INC_AVG,LO_INC_YR4_N,HI_INC_YR4_N,DEP_YR4_N,IND_YR4_N,LOAN_YR4_N,NOLOAN_YR4_N,FIRSTGEN_YR4_N,DEBT_MDN,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,HI_INC_DEBT_MDN,IND_DEBT_MDN,PELL_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,FIRSTGEN_DEBT_MDN,INC_N,DEP_INC_N,PAR_ED_N,PELL_EVER,AGE_ENTRY,AGE_ENTRY_SQ,AGEGE24,FEMALE,MARRIED,VETERAN,DEPENDENT,FIRST_GEN,FAMINC,MD_FAMINC,FAMINC_IND,LNFAMINC,LNFAMINC_IND,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_BA,PCT_GRAD_PROF,PCT_BORN_US,MEDIAN_HH_INC,POVERTY_RATE,UNEMP_RATE,LN_MEDIAN_HH_INC,MD_EARN_WNE_P10,COUNT_NWNE_P10,MN_EARN_WNE_P10,MD_EARN_WNE_P10,COUNT_WNE_INDEP1_P10,COUNT_WNE_MALE0_P10,DEBT_MDN_SUPP,HIGHDEG,CONTROL,CCBASIC,population_2019
University of Alabama at Birmingham,4,5,0,0,0,0,0,0,0.9211,555,555,,27,1220,0.2553,0.5717,0.0334,0.0633,0.0034,0.0002,0.0457,0.0213,,0.2425,17005,,1229,,,24347,8568,19704,10717,0.7766,0.3632,0.5829,,0.6009,1652,0.427613192,0.321408608,0.594202899,0.3487095,0.341223671,0.179802497,0.142351407,0.114589156,0.135643749,0.031884058,0.0222668,0.318956871,0.658776329,61110.80038,30607.18029,1123,656,1793,752,2283,262,1835,15000,22500,9500,16226,15250,14000,14000,16000,17500,15000,15000,15000,15104,5367,3642,4985,0.624930129,23.60797466,,0.25999999,0.63909074,0.105086641,0.003167505,0.678591392,0.341223671,51306.67431,34489,30607.18029,,,69.01999664,27.76000023,1.100000024,15.93000031,8.550000191,96.5,55735.22,10.90999985,3.450000048,10.85999966,41200,464,48400,41200,1311,2317,15000,4,1,15,"209,403"
Amridge University,4,5,0,1,0,0,0,0,,,,,,,0.7151,0.2393,0.0171,0.0057,0.0057,0,0,0,,0.5014,,,,5,,17680,6900,6900,4292,1,0.7673,0.4,,0.0035,10,0.773648649,0.89527027,PrivacySuppressed,PrivacySuppressed,0.5125,0.114864865,0.064189189,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.05,0.4625,0.4875,25211.03226,20596.15849,124,PrivacySuppressed,15,150,PrivacySuppressed,PrivacySuppressed,148,10500,27334,9500,9500,19000,25000,25000,12038,9500,9500,17025,9500,11500,296,31,240,0.864864865,33.6722973,,0.829999983,0.648648649,0.236486487,0.040540541,0.10472973,0.5125,21079.47297,15033.5,20596.15849,,,70.87999725,22.53000069,1.289999962,13.22999954,7.010000229,94.08999634,53683.7,10.64999962,3.599999905,10.84000015,39600,54,47600,39600,PrivacySuppressed,82,10500,4,2,20,"198,525"
University of Alabama in Huntsville,4,5,0,0,0,0,0,0,0.8087,630,565,,30,1314,0.0969,0.7167,0.0528,0.0381,0.0095,0.0008,0.0296,0.0223,,0.1443,20909,,585,,,23441,10714,22362,9442,0.6544,0.2698,0.5187,,0.6176,615,0.374633738,0.251569694,0.688851914,0.26901566,0.310132159,0.137714525,0.146923399,0.150690666,0.190037673,0.029950083,0.019823789,0.29030837,0.689867841,72240.89262,27941.82196,511,306,700,408,1003,105,760,14476,21607,9000,16250,14750,12500,12500,18569,17014,15250,13333,13102,14943,2389,1788,2270,0.557136877,22.72791963,,0.289999992,0.476349937,0.100460444,PrivacySuppressed,0.748430306,0.310132159,61096.58895,44787,27941.82196,,,76.37999725,18.97999954,1.419999957,17.67000008,8.909999847,95.26999664,58688.62,9.369999886,3.640000105,10.93000031,46700,213,52000,46700,580,785,14476,4,1,16,"200,574"
Alabama State University,4,5,0,0,0,0,0,0,0.9774,480,465,,17,972,0.9352,0.0167,0.0095,0.0041,0.0013,0.0005,0.0102,0.0102,,0.0666,13043,,523,,,21476,11068,19396,7754,0.5826,0.7448,0.3001,,0.865,1436,0.614616613,0.107428115,0.921933086,0.577628635,0.343434343,0.178514377,0.112619808,0.052715655,0.041533546,PrivacySuppressed,0.01882461,0.324609734,0.656565657,34468.57181,8551.802974,1175,154,1523,240,1569,194,1430,18679,32000,11161,18750,18500,18246,18246,23925,19056,19500,15525,17500,19000,2504,2235,2178,0.874600639,20.13099042,,0.109999999,0.61341853,0.00798722,PrivacySuppressed,0.892571885,0.343434343,31684.38219,22080.5,8551.802974,,,42.68999863,52.31999969,1.409999967,11.81000042,6.760000229,94.52999878,46065.2,16.95999908,4.809999943,10.67000008,27700,244,30600,27700,316,922,18679,4,1,19,"198,525"
The University of Alabama,4,5,0,0,0,0,0,0,0.5906,590,580,540,29,1252,0.0999,0.7774,0.0499,0.0116,0.0035,0.001,0.0338,0.0183,,0.0836,22232,,1267,,,29424,10780,29230,10225,0.7454,0.1802,0.7188,,0.807,6302,0.261546724,0.142964554,0.607813674,0.203784936,0.225712689,0.12792696,0.137486574,0.131686359,0.341353384,0.034560481,0.008160984,0.217551705,0.774287311,101976.7752,31119.87228,1337,2120,3944,745,4320,369,2745,17500,23250,9500,17750,17750,17250,17250,15845,19500,18500,16000,16750,18000,9310,7979,8945,0.452631579,21.1377014,,0.100000001,0.615252417,0.053705693,0.003974221,0.857035446,0.225712689,91846.74962,66733.5,31119.87228,,,75.34999847,21.05999947,1.200000048,16.47999954,9.210000038,96.08000183,57928.41,10.05000019,3.25999999,10.89999962,44500,429,51600,44500,627,2148,17500,4,1,15,"101,129"
Auburn University at Montgomery,4,5,0,1,0,0,0,0,0.9281,540,525,,21,1084,0.4131,0.452,0.0117,0.0221,0.004,0.0007,0.0393,0.0488,,0.2168,12680,,415,,,18291,8404,17812,7678,0.9655,0.4584,0.338,,0.5739,577,0.489226249,0.227228208,0.69612069,0.428390368,0.38189609,0.188540646,0.130754163,0.110675808,0.080803134,0.023706897,0.023031602,0.358864489,0.61810391,46985.57034,24991.89224,659,215,887,338,1107,118,950,12250,24826,7514,11802,12500,12235,12235,13838,13000,12982,10440,12000,12375,2042,1578,1867,0.72575906,22.19980411,,0.319999993,0.69294809,0.072967679,0.00489716,0.772771792,0.38189609,41987.98629,29671.5,24991.89224,,,59.97000122,37.20999908,0.910000026,14.72000027,9.090000153,96.84999847,50723.81,13,3.789999962,10.77999973,33300,222,38000,33300,550,951,12250,4,1,18,"198,525"
Auburn University,4,5,0,0,0,0,0,0,0.7543,615,615,570,29,1289,0.055,0.8078,0.0342,0.0236,0.0038,0.0005,0.0225,0.049,,0.0791,23696,,1140,,,31282,11276,30524,10428,0.8553,0.1537,0.7812,,0.7973,3835,0.252037368,0.085867621,0.775462963,0.202870189,0.172647119,0.120850726,0.129397734,0.153051083,0.344663089,PrivacySuppressed,0.006561411,0.166085708,0.827352881,98805.66623,21278.8912,653,1227,2234,252,2285,201,1253,17014,21281,8250,17750,17750,16250,16250,18581,19000,17750,16250,17500,16750,5031,4599,4877,0.436294971,20.51679587,,0.07,0.531504671,0.022261976,0.002385212,0.914132379,0.172647119,92148.62652,72031,21278.8912,,,75.90000153,19.79999924,1.649999976,17.93000031,10.81999969,94.91999817,59005.4,9.590000153,3.140000105,10.89999962,48800,368,56300,48800,478,1858,17014,4,1,15,"66,259"
Birmingham-Southern College,3,5,0,0,0,0,0,0,0.5666,570,560,,27,1232,0.1391,0.7858,0.0213,0.0253,0.0032,0,0.0119,0.0119,,0.004,,,,213,,52176,17650,17650,7688,0.6667,0.2214,0.68,,0.8794,325,0.235294118,0.031674208,PrivacySuppressed,PrivacySuppressed,0.172494173,0.128959276,0.178733032,0.178733032,0.278280543,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.827505828,89292.04673,6600.928571,49,110,PrivacySuppressed,PrivacySuppressed,217,10,121,18500,25773,5500,15250,19000,18500,18500,PrivacySuppressed,19000,19900,14250,18500,18000,442,428,429,0.466063348,19.64479638,,0.02,0.520361991,PrivacySuppressed,PrivacySuppressed,0.968325792,0.172494173,86672.87104,68094.5,6600.928571,,,78.90000153,17.40999985,1.389999986,20.90999985,11.67000008,95.69000244,64789.39,7.909999847,2.839999914,11.01000023,46700,27,53100,46700,PrivacySuppressed,160,18500,3,2,21,"209,403"
South University-Montgomery,4,5,0,0,0,0,0,0,,,,,,,0.6604,0.2835,0.0187,0.0093,0,0.0062,0,0,,0.2399,,,,8,,29309,17014,17014,5304,0.1467,0.645,0.0909,,0.0986,44,0.656954488,0.784843329,0.696323729,0.513344316,0.472288337,0.154544166,0.09549128,0.055508294,0.037501772,0.025200976,0.051853111,0.420435226,0.527711663,41728.60264,25677.39734,7702,594,2309,8211,7072,3448,9127,13786,25166,9500,12728,15278,14833,14833,14250,14000,14000,12667,14460,13543,14106,3035,11764,0.777257904,30.00184319,,0.730000019,0.762866865,0.236707784,0.016234227,0.215156671,0.472288337,29130.92124,20000,25677.39734,,,65.22000122,28.55999947,1.74000001,14.64999962,7.849999905,91.06999969,55764.27,10.69999981,3.680000067,10.88000011,33400,315,40200,33400,1515,1506,13786,4,3,20,"198,525"
Faulkner University,4,5,0,1,0,0,0,0,0.5227,530,575,470,22,1069,0.481,0.4238,0.0178,0.0053,0.0024,0.0038,0.0221,0.0241,,0.2386,,,,261,,33944,21690,21690,5743,0.4534,0.4888,0.2794,,0.3442,340,0.574178935,0.611551529,0.67962963,0.408163265,0.430031949,0.159682899,0.122876557,0.086636467,0.056625142,0.012962963,0.031309904,0.398722045,0.569968051,52552.18659,27043.32963,496,121,373,479,797,55,692,14925,24363,8975,15250,14250,14250,14250,17000,15250,16613,12000,15000,14750,1766,686,1565,0.777463194,28.26047565,,0.620000005,0.638731597,0.167610419,PrivacySuppressed,0.388448471,0.430031949,36952.20612,24037.5,27043.32963,,,64.87999725,31.88999939,1.049999952,14.55000019,7.849999905,96.58999634,52330.99,12.31000042,3.920000076,10.81000042,35400,207,40700,35400,896,874,14925,4,2,19,"198,525"
